Country,Region,Population,Infant mortality (per 1000 births)
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,"163,07"
Albania ,EASTERN EUROPE                     ,3581655,"21,52"
Algeria ,NORTHERN AFRICA                    ,32930091,31
American Samoa ,OCEANIA                            ,57794,"9,27"
Andorra ,WESTERN EUROPE                     ,71201,"4,05"
Angola ,SUB-SAHARAN AFRICA                 ,12127071,"191,19"
Anguilla ,LATIN AMER. & CARIB    ,13477,"21,03"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,"19,46"
Argentina ,LATIN AMER. & CARIB    ,39921833,"15,18"
Armenia ,C.W. OF IND. STATES ,2976372,"23,28"
Aruba ,LATIN AMER. & CARIB    ,71891,"5,89"
Australia ,OCEANIA                            ,20264082,"4,69"
Austria ,WESTERN EUROPE                     ,8192880,"4,66"
Azerbaijan ,C.W. OF IND. STATES ,7961619,"81,74"
Bahamas,LATIN AMER. & CARIB    ,303770,"25,21"
Bahrain ,NEAR EAST                          ,698585,"17,27"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,"62,6"
Barbados ,LATIN AMER. & CARIB    ,279912,"12,5"
Belarus ,C.W. OF IND. STATES ,10293011,"13,37"
Belgium ,WESTERN EUROPE                     ,10379067,"4,68"
Belize ,LATIN AMER. & CARIB    ,287730,"25,69"
Benin ,SUB-SAHARAN AFRICA                 ,7862944,85
Bermuda ,NORTHERN AMERICA                   ,65773,"8,53"
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,"100,44"
Bolivia ,LATIN AMER. & CARIB    ,8989046,"53,11"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,"21,05"
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,"54,58"
Brazil ,LATIN AMER. & CARIB    ,188078227,"29,61"
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,"18,05"
Brunei ,ASIA (EX. NEAR EAST)         ,379444,"12,61"
Bulgaria ,EASTERN EUROPE                     ,7385367,"20,55"
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,"97,57"
Burma ,ASIA (EX. NEAR EAST)         ,47382633,"67,24"
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,"69,29"
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,"71,48"
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,"68,26"
Canada ,NORTHERN AMERICA                   ,33098932,"4,75"
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,"47,77"
Cayman Islands ,LATIN AMER. & CARIB    ,45436,"8,19"
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,91
Chad ,SUB-SAHARAN AFRICA                 ,9944201,"93,82"
Chile ,LATIN AMER. & CARIB    ,16134219,"8,8"
China ,ASIA (EX. NEAR EAST)         ,1313973713,"24,18"
Colombia ,LATIN AMER. & CARIB    ,43593035,"20,97"
Comoros ,SUB-SAHARAN AFRICA                 ,690948,"74,93"
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,"94,69"
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,"93,86"
Costa Rica ,LATIN AMER. & CARIB    ,4075261,"9,95"
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,"90,83"
Croatia ,EASTERN EUROPE                     ,4494749,"6,84"
Cuba ,LATIN AMER. & CARIB    ,11382820,"6,33"
Cyprus ,NEAR EAST                          ,784301,"7,18"
Czech Republic ,EASTERN EUROPE                     ,10235455,"3,93"
Denmark ,WESTERN EUROPE                     ,5450661,"4,56"
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,"104,13"
Dominica ,LATIN AMER. & CARIB    ,68910,"14,15"
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,"32,38"
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,"47,41"
Ecuador ,LATIN AMER. & CARIB    ,13547510,"23,66"
Egypt ,NORTHERN AFRICA                    ,78887007,"32,59"
El Salvador ,LATIN AMER. & CARIB    ,6822378,"25,1"
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,"85,13"
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,"74,87"
Estonia ,BALTICS                            ,1324333,"7,87"
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,"95,32"
Faroe Islands ,WESTERN EUROPE                     ,47246,"6,24"
Fiji ,OCEANIA                            ,905949,"12,62"
Finland ,WESTERN EUROPE                     ,5231372,"3,57"
France ,WESTERN EUROPE                     ,60876136,"4,26"
French Guiana ,LATIN AMER. & CARIB    ,199509,"12,07"
French Polynesia ,OCEANIA                            ,274578,"8,44"
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,"53,64"
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,"72,02"
Gaza Strip ,NEAR EAST                          ,1428757,"22,93"
Georgia ,C.W. OF IND. STATES ,4661473,"18,59"
Germany ,WESTERN EUROPE                     ,82422299,"4,16"
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,"51,43"
Gibraltar ,WESTERN EUROPE                     ,27928,"5,13"
Greece ,WESTERN EUROPE                     ,10688058,"5,53"
Greenland ,NORTHERN AMERICA                   ,56361,"15,82"
Grenada ,LATIN AMER. & CARIB    ,89703,"14,62"
Guadeloupe ,LATIN AMER. & CARIB    ,452776,"8,6"
Guam ,OCEANIA                            ,171019,"6,94"
Guatemala ,LATIN AMER. & CARIB    ,12293545,"35,93"
Guernsey ,WESTERN EUROPE                     ,65409,"4,71"
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,"90,37"
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,"107,17"
Guyana ,LATIN AMER. & CARIB    ,767245,"33,26"
Haiti ,LATIN AMER. & CARIB    ,8308504,"73,45"
Honduras ,LATIN AMER. & CARIB    ,7326496,"29,32"
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,"2,97"
Hungary ,EASTERN EUROPE                     ,9981334,"8,57"
Iceland ,WESTERN EUROPE                     ,299388,"3,31"
India ,ASIA (EX. NEAR EAST)         ,1095351995,"56,29"
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,"35,6"
Iran ,ASIA (EX. NEAR EAST)         ,68688433,"41,58"
Iraq ,NEAR EAST                          ,26783383,"50,25"
Ireland ,WESTERN EUROPE                     ,4062235,"5,39"
Isle of Man ,WESTERN EUROPE                     ,75441,"5,93"
Israel ,NEAR EAST                          ,6352117,"7,03"
Italy ,WESTERN EUROPE                     ,58133509,"5,94"
Jamaica ,LATIN AMER. & CARIB    ,2758124,"12,36"
Japan ,ASIA (EX. NEAR EAST)         ,127463611,"3,26"
Jersey ,WESTERN EUROPE                     ,91084,"5,24"
Jordan ,NEAR EAST                          ,5906760,"17,35"
Kazakhstan ,C.W. OF IND. STATES ,15233244,"29,21"
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,"61,47"
Kiribati ,OCEANIA                            ,105432,"48,52"
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,"24,04"
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,"7,05"
Kuwait ,NEAR EAST                          ,2418393,"9,95"
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,"35,64"
Laos ,ASIA (EX. NEAR EAST)         ,6368481,"85,22"
Latvia ,BALTICS                            ,2274735,"9,55"
Lebanon ,NEAR EAST                          ,3874050,"24,52"
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,"84,23"
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,"128,87"
Libya ,NORTHERN AFRICA                    ,5900754,"24,6"
Liechtenstein ,WESTERN EUROPE                     ,33987,"4,7"
Lithuania ,BALTICS                            ,3585906,"6,89"
Luxembourg ,WESTERN EUROPE                     ,474413,"4,81"
Macau ,ASIA (EX. NEAR EAST)         ,453125,"4,39"
Macedonia ,EASTERN EUROPE                     ,2050554,"10,09"
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,"76,83"
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,"103,32"
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,"17,7"
Maldives ,ASIA (EX. NEAR EAST)         ,359008,"56,52"
Mali ,SUB-SAHARAN AFRICA                 ,11716829,"116,79"
Malta ,WESTERN EUROPE                     ,400214,"3,89"
Marshall Islands ,OCEANIA                            ,60422,"29,45"
Martinique ,LATIN AMER. & CARIB    ,436131,"7,09"
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,"70,89"
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,"15,03"
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,"62,4"
Mexico ,LATIN AMER. & CARIB    ,107449525,"20,91"
Micronesia,OCEANIA                            ,108004,"30,21"
Moldova ,C.W. OF IND. STATES ,4466706,"40,42"
Monaco ,WESTERN EUROPE                     ,32543,"5,43"
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,"53,79"
Montserrat ,LATIN AMER. & CARIB    ,9439,"7,35"
Morocco ,NORTHERN AFRICA                    ,33241259,"41,62"
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,"130,79"
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,"48,98"
Nauru ,OCEANIA                            ,13287,"9,95"
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,"66,98"
Netherlands ,WESTERN EUROPE                     ,16491461,"5,04"
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,"10,03"
New Caledonia ,OCEANIA                            ,219246,"7,72"
New Zealand ,OCEANIA                            ,4076140,"5,85"
Nicaragua ,LATIN AMER. & CARIB    ,5570129,"29,11"
Niger ,SUB-SAHARAN AFRICA                 ,12525094,"121,69"
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,"98,8"
N. Mariana Islands ,OCEANIA                            ,82459,"7,11"
Norway ,WESTERN EUROPE                     ,4610820,"3,7"
Oman ,NEAR EAST                          ,3102229,"19,51"
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,"72,44"
Palau ,OCEANIA                            ,20579,"14,84"
Panama ,LATIN AMER. & CARIB    ,3191319,"20,47"
Papua New Guinea ,OCEANIA                            ,5670544,"51,45"
Paraguay ,LATIN AMER. & CARIB    ,6506464,"25,63"
Peru ,LATIN AMER. & CARIB    ,28302603,"31,94"
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,"23,51"
Poland ,EASTERN EUROPE                     ,38536869,"8,51"
Portugal ,WESTERN EUROPE                     ,10605870,"5,05"
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,"8,24"
Qatar ,NEAR EAST                          ,885359,"18,61"
Reunion ,SUB-SAHARAN AFRICA                 ,787584,"7,78"
Romania ,EASTERN EUROPE                     ,22303552,"26,43"
Russia ,C.W. OF IND. STATES ,142893540,"15,39"
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,"91,23"
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,19
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,"14,49"
Saint Lucia ,LATIN AMER. & CARIB    ,168458,"13,53"
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,"7,54"
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,"14,78"
Samoa ,OCEANIA                            ,176908,"27,71"
San Marino ,WESTERN EUROPE                     ,29251,"5,73"
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,"43,11"
Saudi Arabia ,NEAR EAST                          ,27019731,"13,24"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,"55,51"
Serbia ,EASTERN EUROPE                     ,9396411,"12,89"
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,"15,53"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,"143,64"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,"2,29"
Slovakia ,EASTERN EUROPE                     ,5439448,"7,41"
Slovenia ,EASTERN EUROPE                     ,2010347,"4,45"
Solomon Islands ,OCEANIA                            ,552438,"21,29"
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,"116,7"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,"61,81"
Spain ,WESTERN EUROPE                     ,40397842,"4,42"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,"14,35"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,"62,5"
Suriname ,LATIN AMER. & CARIB    ,439117,"23,57"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,"69,27"
Sweden ,WESTERN EUROPE                     ,9016596,"2,77"
Switzerland ,WESTERN EUROPE                     ,7523934,"4,39"
Syria ,NEAR EAST                          ,18881361,"29,53"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,"6,4"
Tajikistan ,C.W. OF IND. STATES ,7320815,"110,76"
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,"98,54"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,"20,48"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,"66,61"
Tonga ,OCEANIA                            ,114689,"12,62"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,"24,31"
Tunisia ,NORTHERN AFRICA                    ,10175014,"24,77"
Turkey ,NEAR EAST                          ,70413958,"41,04"
Turkmenistan ,C.W. OF IND. STATES ,5042920,"73,08"
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,"15,67"
Tuvalu ,OCEANIA                            ,11810,"20,03"
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,"67,83"
Ukraine ,C.W. OF IND. STATES ,46710816,"20,34"
United Arab Emirates ,NEAR EAST                          ,2602713,"14,51"
United Kingdom ,WESTERN EUROPE                     ,60609153,"5,16"
United States of America,NORTHERN AMERICA                   ,298444215,"6,5"
Uruguay ,LATIN AMER. & CARIB    ,3431932,"11,95"
Uzbekistan ,C.W. OF IND. STATES ,27307134,"71,1"
Vanuatu ,OCEANIA                            ,208869,"55,16"
Venezuela ,LATIN AMER. & CARIB    ,25730435,"22,2"
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,"25,95"
Virgin Islands ,LATIN AMER. & CARIB    ,108605,"8,03"
West Bank ,NEAR EAST                          ,2460492,"19,62"
Yemen ,NEAR EAST                          ,21456188,"61,5"
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,"88,29"
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,"67,69"
